,Action,Status,Due date,Responsible entity,Cost,_id,_index,Step,Type,Section
1,DRC MPA 111,done,2022-09-06,IMO RDC,,212762406,2,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
2,To follow the national Meteorological Department and Flood Forecasting Centre bulletins,deadline_set_ongoing,2023-02-28,"The NIWG, which in turns shares highlights to the Nutrition partners",,387971208,3,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
3,xxxxxxxx,,,,,442682304,4,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
4,To follow the national and provincial Hydro-meteorology department weather forecasting and Afghanistan natural disaster management authority (ANDMA)warning system for Flood  and Snow Forecasting,done,2023-06-14,,,454184048,5,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
17,Conduct hazard mapping and update risk registers,to_be_initiated_delayed,2025-11-15,MoH / Nutrition IM WG,5000.0,716906070,18,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
2,To monitor the disease surveillance system of the national institute of Epidemiology Disease Control,deadline_set_ongoing,2023-02-28,The NIWG,,387971208,3,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
3,xxxxxxxx,,,,,442682304,4,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
4,"To monitor the disease surveillance system, using the national diseasis surveillance response (NDSR) weekly update publishing through world health organization on weekly basis and deseasis early warning system (DEWS) for the monitoring of disease outbreak",done,2023-06-14,,,454184048,5,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
17,Develop and disseminate early warning indicators for nutrition,to_be_initiated_delayed,2025-11-30,MoH / UNICEF,3000.0,716906070,18,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
3,xxxxxxxxx,,,,,442682304,4,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
4,To consult with relevants cluster  and refine the choice of indicators to monitor risk of outbreak flood and harsh winter.,done,2023-01-31,The SNNCC and ERP task force,,454184048,5,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
17,Train cluster partners on risk monitoring and reporting,deadline_set_ongoing,2025-12-15,UNICEF / ACF,10000.0,716906070,18,_1_Risk_Analysis_and_Monitoring,MPAs,1.Risk Analysis and Monitoring
3,xxxxxxxx,,,,,442682304,4,_1_Risk_Analysis_and_Monitoring,APAs,1.Risk Analysis and Monitoring
4,To refine the set of advanced preparedness actions for Nutrition that must be trigared when Alert stage is reached for monitoring indicators and immidiate action when the outbreak or emergency is delcleared,done,2023-03-08,The Cluster member and ERP task force,,454184048,5,_1_Risk_Analysis_and_Monitoring,APAs,1.Risk Analysis and Monitoring
17,Conduct hazard mapping and update risk registers,deadline_set_ongoing,2025-12-15,UNICEF / ACF,10000.0,716906070,18,_1_Risk_Analysis_and_Monitoring,APAs,1.Risk Analysis and Monitoring
3,xxxxxxxx,,,,,442682304,4,_1_Risk_Analysis_and_Monitoring,APAs,1.Risk Analysis and Monitoring
17,Develop and disseminate early warning indicators for nutrition,deadline_set_ongoing,2025-11-30,UNICEF/AC,3000.0,716906070,18,_1_Risk_Analysis_and_Monitoring,APAs,1.Risk Analysis and Monitoring
